# ranks ; cores  ; dim_x ; dim_y ; dim_z ; steps ; time 
2048    ; 512    ; 90    ; 90    ; 90    ; 14    ; 00:09:07.743394
4096    ; 1024   ; 90    ; 90    ; 90    ; 26    ; 00:09:16.182816
8192    ; 2048   ; 90    ; 90    ; 90    ; 50    ; 00:09:10.955305
16384   ; 4096   ; 90    ; 90    ; 90    ; 98    ; 00:09:10.342601
32768   ; 8192   ; 90    ; 90    ; 90    ; 194   ; 00:09:07.517901
65536   ; 16384  ; 90    ; 90    ; 90    ; 198   ; 00:05:57.640228
131072  ; 32768  ; 90    ; 90    ; 90    ; 198   ; 00:03:50.889558
262144  ; 65536  ; 90    ; 90    ; 90    ; 198   ; 00:02:33.466900
524288  ; 131072 ; 90    ; 90    ; 90    ; 198   ; 00:01:18.852936
655360  ; 163840 ; 90    ; 90    ; 90    ; 198   ; 00:01:17.911749
